 4.00004000e-04  2.71050543e-11  4.00004000e-04  4.80000000e+01  4.00004000e-04  1.13416218e+01  4.00004000e-04  2.37153882e+01  4.00004000e-04 -1.01001444e+00  4.00004000e-04  4.00004000e-04  4.00004000e-04 -4.90100144e-05  4.00004000e-04  0.00000000e+00 
 4.00005000e-04  5.00000000e-01  4.00005000e-04  4.80000000e+01  4.00005000e-04  1.13415723e+01  4.00005000e-04  2.37154620e+01  4.00005000e-04 -1.01001384e+00  4.00005000e-04  4.00005000e-04  4.00005000e-04 -4.90100138e-05  4.00005000e-04  0.00000000e+00 
 4.00006750e-04  1.37500000e+00  4.00006750e-04  4.80000000e+01  4.00006750e-04  1.13414858e+01  4.00006750e-04  2.37155913e+01  4.00006750e-04 -1.01001277e+00  4.00006750e-04  4.00006750e-04  4.00006750e-04 -4.90100128e-05  4.00006750e-04  0.00000000e+00 
 4.00007234e-04  1.61718750e+00  4.00007234e-04  4.80000000e+01  4.00007234e-04  1.13414618e+01  4.00007234e-04  2.37156271e+01  4.00007234e-04 -1.01001248e+00  4.00007234e-04  4.00007234e-04  4.00007234e-04 -4.90100125e-05  4.00007234e-04  0.00000000e+00 
 4.00008082e-04  2.04101563e+00  4.00008082e-04  4.80000000e+01  4.00008082e-04  1.13414199e+01  4.00008082e-04  2.37156898e+01  4.00008082e-04 -1.01001197e+00  4.00008082e-04  4.00008082e-04  4.00008082e-04 -4.90100120e-05  4.00008082e-04  0.00000000e+00 
 4.00008317e-04  2.15832520e+00  4.00008317e-04  4.80000000e+01  4.00008317e-04  1.13414083e+01  4.00008317e-04  2.37157071e+01  4.00008317e-04 -1.01001182e+00  4.00008317e-04  4.00008317e-04  4.00008317e-04 -4.90100118e-05  4.00008317e-04  0.00000000e+00 
 4.00008727e-04  2.36361694e+00  4.00008727e-04  4.80000000e+01  4.00008727e-04  1.13413880e+01  4.00008727e-04  2.37157374e+01  4.00008727e-04 -1.01001157e+00  4.00008727e-04  4.00008727e-04  4.00008727e-04 -4.90100116e-05  4.00008727e-04  0.00000000e+00 
 4.00008841e-04  2.42043877e+00  4.00008841e-04  4.80000000e+01  4.00008841e-04  1.13413824e+01  4.00008841e-04  2.37157458e+01  4.00008841e-04 -1.01001150e+00  4.00008841e-04  4.00008841e-04  4.00008841e-04 -4.90100115e-05  4.00008841e-04  0.00000000e+00 
 4.00009040e-04  2.51987696e+00  4.00009040e-04  4.80000000e+01  4.00009040e-04  1.13413726e+01  4.00009040e-04  2.37157605e+01  4.00009040e-04 -1.01001138e+00  4.00009040e-04  4.00009040e-04  4.00009040e-04 -4.90100114e-05  4.00009040e-04  0.00000000e+00 
 4.00009260e-04  2.62996924e+00  4.00009260e-04  4.80000000e+01  4.00009260e-04  1.13413724e+01  4.00009260e-04  2.37157768e+01  4.00009260e-04  4.78865863e+01  4.00009260e-04  4.00009260e-04  4.00009260e-04 -1.13413724e+01  4.00009260e-04  0.00000000e+00 
 4.00009700e-04  2.85015380e+00  4.00009700e-04  4.80000000e+01  4.00009700e-04  1.13413937e+01  4.00009700e-04  2.37158093e+01  4.00009700e-04  4.78865861e+01  4.00009700e-04  4.00009700e-04  4.00009700e-04 -1.13413937e+01  4.00009700e-04  0.00000000e+00 
 4.00010581e-04  3.29052293e+00  4.00010581e-04  4.80000000e+01  4.00010581e-04  1.13414363e+01  4.00010581e-04  2.37158744e+01  4.00010581e-04  4.78865856e+01  4.00010581e-04  4.00010581e-04  4.00010581e-04 -1.13414363e+01  4.00010581e-04  0.00000000e+00 
 4.00012343e-04  4.17126119e+00  4.00012343e-04  4.80000000e+01  4.00012343e-04  1.13415215e+01  4.00012343e-04  2.37160046e+01  4.00012343e-04  4.78865848e+01  4.00012343e-04  4.00012343e-04  4.00012343e-04 -1.13415215e+01  4.00012343e-04  0.00000000e+00 
 4.00014000e-04  5.00000000e+00  4.00014000e-04  4.80000000e+01  4.00014000e-04  1.13416016e+01  4.00014000e-04  2.37161270e+01  4.00014000e-04  4.78865840e+01  4.00014000e-04  4.00014000e-04  4.00014000e-04 -1.13416016e+01  4.00014000e-04  0.00000000e+00 
 4.00014352e-04  5.00000000e+00  4.00014352e-04  4.80000000e+01  4.00014352e-04  1.13416186e+01  4.00014352e-04  2.37161531e+01  4.00014352e-04  4.78865838e+01  4.00014352e-04  4.00014352e-04  4.00014352e-04 -1.13416186e+01  4.00014352e-04  0.00000000e+00 
 4.00015057e-04  5.00000000e+00  4.00015057e-04  4.80000000e+01  4.00015057e-04  1.13416527e+01  4.00015057e-04  2.37162051e+01  4.00015057e-04  4.78865835e+01  4.00015057e-04  4.00015057e-04  4.00015057e-04 -1.13416527e+01  4.00015057e-04  0.00000000e+00 
 4.00016466e-04  5.00000000e+00  4.00016466e-04  4.80000000e+01  4.00016466e-04  1.13417208e+01  4.00016466e-04  2.37163093e+01  4.00016466e-04  4.78865828e+01  4.00016466e-04  4.00016466e-04  4.00016466e-04 -1.13417208e+01  4.00016466e-04  0.00000000e+00 
 4.00019284e-04  5.00000000e+00  4.00019284e-04  4.80000000e+01  4.00019284e-04  1.13418570e+01  4.00019284e-04  2.37165175e+01  4.00019284e-04  4.78865814e+01  4.00019284e-04  4.00019284e-04  4.00019284e-04 -1.13418570e+01  4.00019284e-04  0.00000000e+00 
 4.00024921e-04  5.00000000e+00  4.00024921e-04  4.80000000e+01  4.00024921e-04  1.13421295e+01  4.00024921e-04  2.37169340e+01  4.00024921e-04  4.78865787e+01  4.00024921e-04  4.00024921e-04  4.00024921e-04 -1.13421295e+01  4.00024921e-04  0.00000000e+00 
 4.00036195e-04  5.00000000e+00  4.00036195e-04  4.80000000e+01  4.00036195e-04  1.13426745e+01  4.00036195e-04  2.37177671e+01  4.00036195e-04  4.78865733e+01  4.00036195e-04  4.00036195e-04  4.00036195e-04 -1.13426745e+01  4.00036195e-04  0.00000000e+00 
 4.00058742e-04  5.00000000e+00  4.00058742e-04  4.80000000e+01  4.00058742e-04  1.13437643e+01  4.00058742e-04  2.37194333e+01  4.00058742e-04  4.78865624e+01  4.00058742e-04  4.00058742e-04  4.00058742e-04 -1.13437643e+01  4.00058742e-04  0.00000000e+00 
 4.00103835e-04  5.00000000e+00  4.00103835e-04  4.80000000e+01  4.00103835e-04  1.13459437e+01  4.00103835e-04  2.37227663e+01  4.00103835e-04  4.78865406e+01  4.00103835e-04  4.00103835e-04  4.00103835e-04 -1.13459437e+01  4.00103835e-04  0.00000000e+00 
 4.00153835e-04  5.00000000e+00  4.00153835e-04  4.80000000e+01  4.00153835e-04  1.13483599e+01  4.00153835e-04  2.37264629e+01  4.00153835e-04  4.78865164e+01  4.00153835e-04  4.00153835e-04  4.00153835e-04 -1.13483599e+01  4.00153835e-04  0.00000000e+00 
 4.00203835e-04  5.00000000e+00  4.00203835e-04  4.80000000e+01  4.00203835e-04  1.13507757e+01  4.00203835e-04  2.37301603e+01  4.00203835e-04  4.78864922e+01  4.00203835e-04  4.00203835e-04  4.00203835e-04 -1.13507757e+01  4.00203835e-04  0.00000000e+00 
 4.00253835e-04  5.00000000e+00  4.00253835e-04  4.80000000e+01  4.00253835e-04  1.13531912e+01  4.00253835e-04  2.37338586e+01  4.00253835e-04  4.78864681e+01  4.00253835e-04  4.00253835e-04  4.00253835e-04 -1.13531912e+01  4.00253835e-04  0.00000000e+00 
 4.00303835e-04  5.00000000e+00  4.00303835e-04  4.80000000e+01  4.00303835e-04  1.13556062e+01  4.00303835e-04  2.37375578e+01  4.00303835e-04  4.78864439e+01  4.00303835e-04  4.00303835e-04  4.00303835e-04 -1.13556062e+01  4.00303835e-04  0.00000000e+00 
 4.00353835e-04  5.00000000e+00  4.00353835e-04  4.80000000e+01  4.00353835e-04  1.13580209e+01  4.00353835e-04  2.37412580e+01  4.00353835e-04  4.78864198e+01  4.00353835e-04  4.00353835e-04  4.00353835e-04 -1.13580209e+01  4.00353835e-04  0.00000000e+00 
 4.00403835e-04  5.00000000e+00  4.00403835e-04  4.80000000e+01  4.00403835e-04  1.13604353e+01  4.00403835e-04  2.37449590e+01  4.00403835e-04  4.78863956e+01  4.00403835e-04  4.00403835e-04  4.00403835e-04 -1.13604353e+01  4.00403835e-04  0.00000000e+00 
 4.00453835e-04  5.00000000e+00  4.00453835e-04  4.80000000e+01  4.00453835e-04  1.13628492e+01  4.00453835e-04  2.37486609e+01  4.00453835e-04  4.78863715e+01  4.00453835e-04  4.00453835e-04  4.00453835e-04 -1.13628492e+01  4.00453835e-04  0.00000000e+00 
 4.00503835e-04  5.00000000e+00  4.00503835e-04  4.80000000e+01  4.00503835e-04  1.13652628e+01  4.00503835e-04  2.37523637e+01  4.00503835e-04  4.78863474e+01  4.00503835e-04  4.00503835e-04  4.00503835e-04 -1.13652628e+01  4.00503835e-04  0.00000000e+00 
 4.00553835e-04  5.00000000e+00  4.00553835e-04  4.80000000e+01  4.00553835e-04  1.13676760e+01  4.00553835e-04  2.37560674e+01  4.00553835e-04  4.78863232e+01  4.00553835e-04  4.00553835e-04  4.00553835e-04 -1.13676760e+01  4.00553835e-04  0.00000000e+00 
 4.00603835e-04  5.00000000e+00  4.00603835e-04  4.80000000e+01  4.00603835e-04  1.13700889e+01  4.00603835e-04  2.37597721e+01  4.00603835e-04  4.78862991e+01  4.00603835e-04  4.00603835e-04  4.00603835e-04 -1.13700889e+01  4.00603835e-04  0.00000000e+00 
 4.00653835e-04  5.00000000e+00  4.00653835e-04  4.80000000e+01  4.00653835e-04  1.13725013e+01  4.00653835e-04  2.37634776e+01  4.00653835e-04  4.78862750e+01  4.00653835e-04  4.00653835e-04  4.00653835e-04 -1.13725013e+01  4.00653835e-04  0.00000000e+00 
 4.00703835e-04  5.00000000e+00  4.00703835e-04  4.80000000e+01  4.00703835e-04  1.13749134e+01  4.00703835e-04  2.37671840e+01  4.00703835e-04  4.78862509e+01  4.00703835e-04  4.00703835e-04  4.00703835e-04 -1.13749134e+01  4.00703835e-04  0.00000000e+00 
 4.00753835e-04  5.00000000e+00  4.00753835e-04  4.80000000e+01  4.00753835e-04  1.13773251e+01  4.00753835e-04  2.37708913e+01  4.00753835e-04  4.78862267e+01  4.00753835e-04  4.00753835e-04  4.00753835e-04 -1.13773251e+01  4.00753835e-04  0.00000000e+00 
 4.00803835e-04  5.00000000e+00  4.00803835e-04  4.80000000e+01  4.00803835e-04  1.13797365e+01  4.00803835e-04  2.37745995e+01  4.00803835e-04  4.78862026e+01  4.00803835e-04  4.00803835e-04  4.00803835e-04 -1.13797365e+01  4.00803835e-04  0.00000000e+00 
 4.00853835e-04  5.00000000e+00  4.00853835e-04  4.80000000e+01  4.00853835e-04  1.13821475e+01  4.00853835e-04  2.37783086e+01  4.00853835e-04  4.78861785e+01  4.00853835e-04  4.00853835e-04  4.00853835e-04 -1.13821475e+01  4.00853835e-04  0.00000000e+00 
 4.00903835e-04  5.00000000e+00  4.00903835e-04  4.80000000e+01  4.00903835e-04  1.13845581e+01  4.00903835e-04  2.37820186e+01  4.00903835e-04  4.78861544e+01  4.00903835e-04  4.00903835e-04  4.00903835e-04 -1.13845581e+01  4.00903835e-04  0.00000000e+00 
